STT,sec_code,name,stock_exchange
1,ABB,Ngân hàng Thương mại cổ phần An Bình,UpCom
2,ACB,Ngân hàng Thương mại Cổ phần Á Châu,HSX
3,AGRIBANK,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,OTC
4,BAB,Ngân hàng Thương mại cổ phần Bắc Á,HNX
5,BAOVIETBANK,Ngân hàng TMCP Bảo Việt,OTC
6,BID,Ngân hàng Thương mại cổ phần Đầu tư và Phát triển Việt Nam,HSX
7,BVB,Ngân hàng Thương mại cổ phần Bản Việt,UpCom
8,CBBANK,Ngân hàng Thương mại TNHH MTV Ngoại thương Công nghệ số,OTC
9,COOPBANK,Ngân hàng Hợp tác xã Việt Nam,OTC
10,CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,HSX
11,DAF,Ngân hàng Thương mại cổ phần Đông Á,OTC
12,DAIABANK,Ngân hàng Thương mại cổ phần Đại Á,OTC
13,EIB,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam,HSX
14,EVF,Công ty Tài chính cổ phần Điện lực,HSX
15,GPBANK,Ngân hàng Thương mại TNHH MTV Dầu khí Toàn cầu,OTC
16,HBB,Ngân hàng Thương mại Cổ phần Nhà Hà Nội,HNX
17,HDB,Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,HSX
18,KLB,Ngân hàng Thương mại cổ phần Kiên Long,UpCom
19,LPB,Ngân hàng Thương mại cổ phần Lộc Phát Việt Nam,HSX
20,MBB,Ngân hàng Thương mại cổ phần Quân đội,HSX
21,MEKONGBANK,Ngân hàng TMCP Phát triển Mê Kông,OTC
22,MHB,Ngân hàng TMCP Phát triển nhà đồng bằng sông Cửu Long,OTC
23,MSB,Ngân hàng Thương mại cổ phần Hàng hải Việt Nam,HSX
24,NAB,Ngân hàng Thương mại cổ phần Nam Á,HSX
25,NVB,Ngân hàng Thương mại cổ phần Quốc Dân,HNX
26,OCB,Ngân hàng Thương mại cổ phần Phương Đông,HSX
27,OCEANBANK,Ngân hàng Thương mại TNHH MTV Đại Dương,OTC
28,PGB,Ngân hàng TMCP Thịnh vượng và Phát triển,UpCom
29,PVCOMBANK,Ngân hàng Thương mại cổ phần Đại chúng Việt Nam,OTC
30,PVF,Tổng Công ty Tài chính Cổ phần Dầu khí Việt Nam,HSX
31,SCB,Ngân hàng Thương mại Cổ phần Sài Gòn,OTC
32,SDF,Công ty Tài chính cổ phần Sông Đà,UpCom
33,SGB,Ngân hàng TMCP Sài Gòn Công thương,UpCom
34,SHB,Ngân hàng Thương mại cổ phần Sài Gòn - Hà Nội,HSX
35,SOUTHERNBANK,Ngân hàng TMCP Phương Nam,OTC
36,SSB,Ngân hàng Thương mại cổ phần Đông Nam Á,HSX
37,STB,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,HSX
38,TCB,Ngân hàng TMCP Kỹ Thương Việt Nam (Techcombank),HSX
39,TCXM,Công ty Tài chính cổ phần Xi măng,OTC
40,TPB,Ngân hàng Thương mại cổ phần Tiên Phong,HSX
41,VAB,Ngân hàng Thương mại cổ phần Việt Á,HSX
42,VBB,Ngân hàng Thương mại cổ phần Việt Nam Thương Tín,UpCom
43,VCB,Ngân hàng Thương mại cổ phần Ngoại thương Việt Nam,HSX
44,VIB,Ngân hàng Thương mại cổ phần Quốc tế Việt Nam,HSX
45,VPB,Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng,HSX
46,WESTERNBANK,Ngân hàng TMCP Phương Tây,OTC
