STT,name,sec_code,stock_exchange
1,CTCP Nhiệt Điện Bà Rịa,BTP,HOSE
2,CTCP Cấp Nước Bến Thành,BTW,HNX
3,CTCP Nước - Môi Trường Bình Dương,BWE,HOSE
4,CTCP Thủy Điện Miền Trung,CHP,HOSE
5,CTCP Cấp Nước Chợ Lớn,CLW,HOSE
6,CTCP CNG Việt Nam,CNG,HOSE
7,CTCP Đầu Tư Công Nghiệp Xuất Nhập Khẩu Đông Dương,DDG,HNX
8,CTCP Tập Đoàn Alpha Seven,DL1,HNX
9,CTCP Điện Nước Lắp Máy Hải Phòng,DNC,HNX
10,CTCP DNP Holding,DNP,HNX
11,CTCP Thủy Điện - Điện Lực 3,DRL,HOSE
12,Tổng Công Ty Điện Lực TKV - CTCP,DTK,HNX
13,Tổng Công Ty Khí Việt Nam - CTCP,GAS,HOSE
14,CTCP Cấp Nước Gia Định,GDW,HNX
15,CTCP Điện Gia Lai,GEG,HOSE
16,CTCP Tập Đoàn Hà Đô,HDG,HOSE
17,CTCP Thủy Điện Nậm Mu,HJS,HNX
18,CTCP Thủy Điện Hủa Na,HNA,HOSE
19,CTCP Điện Lực Khánh Hòa,KHP,HOSE
20,CTCP Kosy,KOS,HOSE
21,CTCP Nhiệt Điện Ninh Bình,NBP,HNX
22,CTCP Cấp Nước Nhà Bè,NBW,HNX
23,CTCP Điện Lực Dầu Khí Nhơn Trạch 2,NT2,HOSE
24,CTCP Thủy Điện Nước Trong,NTH,HNX
25,Tổng Công Ty Gas Petrolimex - Ctcp,PGC,HOSE
26,CTCP Phân Phối Khí Thấp Áp Dầu Khí Việt Nam,PGD,HOSE
27,CTCP Kinh Doanh Khí Miền Nam,PGS,HNX
28,Tổng Công Ty Phát Điện 3 - CTCP,PGV,HOSE
29,CTCP Đầu Tư Điện Lực 3,PIC,HNX
30,CTCP Đầu Tư Và Sản Xuất Petro Miền Trung,PMG,HOSE
31,Tổng Công Ty Điện Lực Dầu Khí Việt Nam,POW,HOSE
32,CTCP Nhiệt Điện Phả Lại,PPC,HOSE
33,CTCP Đầu Tư Icapital,PTC,HOSE
34,CTCP Kinh Doanh LPG Việt Nam,PVG,HNX
35,CTCP Cơ Điện Lạnh,REE,HOSE
36,CTCP Thủy Điện Sê San 4A,S4A,HOSE
37,CTCP Sông Ba,SBA,HOSE
38,CTCP Sông Đà 9,SD9,HNX
39,CTCP Đầu Tư Và Phát Triển Điện Miền Trung,SEB,HNX
40,CTCP Thủy Điện Miền Nam,SHP,HOSE
41,CTCP Thủy Điện Cần Đơn,SJD,HOSE
42,CTCP Thiết Bị Phụ Tùng Sài Gòn,SMA,HOSE
43,CTCP Thủy Điện Thác Bà,TBC,HOSE
44,CTCP Đầu Tư Tdg Global,TDG,HOSE
45,CTCP Nước Thủ Dầu Một,TDM,HOSE
46,CTCP Cấp Nước Thủ Đức,TDW,HOSE
47,CTCP Thủy Điện Thác Mơ,TMP,HOSE
48,CTCP Đầu Tư Xây Dựng Và Phát Triển Trường Thành,TTA,HOSE
49,CTCP Đầu Tư Năng Lượng Trường Thịnh,TTE,HOSE
50,CTCP Đầu Tư Phát Triển Nhà Và Đô Thị  IDICO,UIC,HOSE
51,CTCP Phát Triển Điện Lực Việt Nam,VPD,HOSE
52,CTCP Thủy Điện Vĩnh Sơn - Sông Hinh,VSH,HOSE
