STT,Tên đầy đủ,Mã chứng khoán,Sàn niêm yết
1,Tổng CT Công nghiệp mỏ Việt Bắc TKV-CTCP,MVB,HNX
2,CTCP Ngân Sơn,NST,HNX
3,CTCP Xuất nhập khẩu Than - Vinacomin,CLM,HNX
4,CÔNG TY CỔ PHẦN KINH DOANH THAN MIỀN BẮC- VINACOMIN,TMB,HNX
5,CTCP Pin Hà Nội,PHN,HNX
6,Tổng công ty Lâm nghiệp Việt Nam - CTCP,VIF,HNX
7,Tổng công ty khoáng sản TKV - CTCP,KSV,HNX
8,CTCP Đầu tư CMC,CMC,HNX
9,Tổng công ty Thăng Long-CTCP,TTL,HNX
10,Công ty cổ phần Tư Vấn Sông Đà,SDC,HNX
11,CTCP Xây dựng Số 1,VC1,HNX
12,CTCP Xây dựng và Đầu tư Visicons,VC6,HNX
13,Công ty Cổ phần Tập đoàn BGI,VC7,HNX
14,CTCP Đầu tư và Xây dựng Vina2,VC2,HNX
15,Công ty Cổ phần Năng lượng và Môi trường VICEM (tên cũ CTCP Vicem Vật tư vận tải xi măng),VTV,HNX
16,CTCP LICOGI 13,LIG,HNX
17,CTCP Lắp máy thí nghiệm cơ điện,LCD,HNX
18,CTCP Xây dựng Sông Hồng,ICG,HNX
19,CTCP Tập đoàn Vinacontrol,VNC,HNX
20,CTCP xuất nhập khẩu Hàng không,ARM,HNX
21,CTCP Vải sợi May mặc Miền Bắc,TET,HNX
22,Công ty Cổ phần Dược trung ương Mediplantex,MED,HNX
23,CTCP X20,X20,HNX
24,Tổng CTCP Dịch vụ Kỹ thuật Dầu khí Việt Nam,PVS,HNX
25,Tổng công ty Hoá chất và dịch vụ Dầu khí - CTCP,PVC,HNX
26,Công ty cổ phần PVI,PVI,HNX
27,CTCP Truyền Thông số 1,ONE,HNX
28,CÔNG TY CỔ PHẦN ALPHANAM E&C,AME,HNX
29,CTCP Thương mại và Dịch vụ Tiến Thành,TTH,HNX
30,CTCP Cokyvina,CKV,HNX
31,CTCP Thiết bị Bưu điện,POT,HNX
32,CTCP Tập đoàn Đầu tư IPA,IPA,HNX
33,Công ty cổ phần Tập đoàn tập đoàn đầu tư ATS,ATS,HNX
34,CTCP Sông Đà 9,SD9,HNX
35,Công ty cổ phần Sông Đà 5,SD5,HNX
36,CTCP Thương mại và Vận tải Petrolimex Hà Nội,PJC,HNX
37,CÔNG TY CỔ PHẦN XÂY DỰNG SỐ 9 – VC9,VC9,HNX
38,CTCP Tập Đoàn Đầu Tư Thăng Long,TIG,HNX
39,Công ty cổ phần Tập đoàn C.E.O,CEO,HNX
40,Công ty cổ phần Tập đoàn Nam Mê Kông,VC3,HNX
41,Công ty Cổ phần Vimeco,VMC,HNX
42,CTCP Giao nhận Vận tải Ngoại thương,VNT,HNX
43,CTCP SIMCO Sông Đà,SDA,HNX
44,Công ty cổ phần SCI,S99,HNX
45,CTCP Tin học Viễn thông Petrolimex,PIA,HNX
46,CTCP Đầu tư và Xây dựng BDC Việt Nam,MCO,HNX
47,Công ty CP Bánh kẹo Hải Hà,HHC,HNX
48,CTCP Xây dựng số 12,V12,HNX
49,Tổng công ty Hóa dầu Petrolimex - CTCP,PLC,HNX
50,CTCP Sara Việt Nam,SRA,HNX
51,CTCP Tập đoàn COTANA,CSC,HNX
52,CTCP Sách Giáo dục tại TP. Hà Nội,EBS,HNX
53,CTCP Bao bì và In nông nghiệp,INN,HNX
54,CTCP Sách Đại học - Dạy nghề,HEV,HNX
55,CTCP Tập đoàn Vexilla Việt Nam,SVN,HNX
56,CTCP Phát triển Năng Lượng Sơn Hà,SHE,HNX
57,CTCP Đầu tư và xây lắp Constrexim Số 8,CX8,HNX
58,CTCP CNC Capital Việt Nam,KSQ,HNX
59,CTCP Đầu tư Châu Á - Thái Bình Dương,API,HNX
60,CTCP Hãng Sơn Đông Á,HDA,HNX
61,CTCP Thương mại Bia Hà Nội,HAT,HNX
62,Công ty Cổ phần Tập đoàn ECI,ECI,HNX
63,Công ty CP Đầu tư IDJ Việt Nam,IDJ,HNX
64,CTCP Đầu tư xây dựng và phát triển đô thị sông Đà,SDU,HNX
65,Công ty Cổ phần Đầu tư và Phát triển giáo dục Hà Nội,EID,HNX
66,CTCP Nhân lực và thương mại Vinaconex,VCM,HNX
67,CTCP Đầu tư tổng hợp Hà Nội,SHN,HNX
68,CTCP Đầu tư PV2,PV2,HNX
69,CTCP Tập đoàn CMH Việt Nam,CMS,HNX
70,CTCP Kinh doanh LPG Việt Nam,PVG,HNX
71,CTCP Đầu tư và Phát triển Bất động sản HUDLAND,HLD,HNX
72,CTCP Đầu tư phát triển gas đô thị,PCG,HNX
73,CTCP Mĩ Thuật và Truyền Thông,ADC,HNX
74,CTCP Tập đoàn MBG,MBG,HNX
75,CTCP Tư vấn Đầu tư PP Enterprise,PPE,HNX
