STT,Tên đầy đủ,Mã chứng khoán,Sàn niêm yết
1,Công ty Cổ phần Tập đoàn GELEX,GEX,HOSE
2,Công ty Cổ phần Cao su Sao vàng,SRC,HOSE
3,CÔNG TY CỔ PHẦN TẬP ĐOÀN PC1,PC1,HOSE
4,Công ty Cổ phần Nhựa Hà Nội,NHH,HOSE
5,CTCP Phân lân nung chảy Văn Điển,VAF,HOSE
6,CÔNG TY CỔ PHẦN Ô TÔ TMT,TMT,HOSE
7,Tổng CTCP Xuất nhập khẩu và Xây dựng Việt Nam (Vinaconex),VCG,HOSE
8,Tập đoàn Xăng dầu Việt Nam,PLX,HOSE
9,Tổng công ty Hàng không Việt Nam - CTCP,HVN,HOSE
10,Tổng công ty Viglacera - CTCP,VGC,HOSE
11,Công ty Cổ phần Traphaco,TRA,HOSE
12,Tập đoàn Bảo Việt,BVH,HOSE
13,Ngân hàng TMCP Công thương Việt Nam,CTG,HOSE
14,Ngân hàng TMCP Ngoại thương Việt Nam,VCB,HOSE
15,Ngân hàng TMCP Đầu tư và Phát triển Việt nam,BID,HOSE
16,Ngân hàng TMCP Kỹ thương Việt Nam,TCB,HOSE
17,Ngân hàng TMCP Quốc Tế Việt Nam,VIB,HOSE
18,Ngân hàng TMCP Việt Nam Thịnh Vượng,VPB,HOSE
19,CTCP Tập đoàn Công nghệ CMC,CMG,HOSE
20,CTCP Tâp đoàn Hà Đô,HDG,HOSE
21,Ngân hàng TMCP Quân đội,MBB,HOSE
22,Công ty cổ phần Viễn thông - Tin học Bưu điện,ICT,HOSE
23,CTCP Đầu tư iCapital,PTC,HOSE
24,Công ty Cổ phần Quốc tế Sơn Hà,SHI,HOSE
25,CTCP MHC,MHC,HOSE
26,CTCP Đầu tư và Xây dựng HUD1,HU1,HOSE
27,CTCP HACISCO,HAS,HOSE
28,CÔNG TY CỔ PHẦN HALCOM VIỆT NAM,HID,HOSE
29,Công ty Cổ phần Bất động sản Thế Kỷ,CRE,HOSE
30,CTCP Đầu tư và Phát triển Y tế Việt Nhật,JVC,HOSE
31,CTCP Đầu tư và Phát triển đô thị Long Giang,LGL,HOSE
32,CTCP Đạt Phương,DPG,HOSE
33,Tập đoàn Vingroup - CTCP,VIC,HOSE
34,Công ty Cổ phần FPT,FPT,HOSE
35,CTCP Phát triển Điện lực Việt Nam,VPD,HOSE
36,CTCP Xây dựng Phục Hưng Holdings,PHC,HOSE
37,Tổng CTCP Bia - Rượu - Nước giải khát Hà Nội,BHN,HOSE
38,Công ty Cổ phần SJ Group,SJS,HOSE
39,CTCP Everpia,EVE,HOSE
40,Công ty Cổ phần công nghệ - viễn thông ELCOM,ELC,HOSE
41,Tổng Công ty Gas Petrolimex - CTCP,PGC,HOSE
42,Công ty cổ phần Tập đoàn giống cây trồng Việt Nam,NSC,HOSE
43,CTCP Tập đoàn Hóa chất Đức Giang,DGC,HOSE
44,Công ty cổ phần FECON,FCN,HOSE
45,Công ty Cổ phần Tập đoàn Thành Nam,TNI,HOSE
46,Công ty Cổ Phần Bóng đèn Phích nước Rạng Đông,RAL,HOSE
47,CTCP Phát triển Đô thị Từ Liêm,NTL,HOSE
48,CTCP Dịch vụ hàng hóa Nội Bài,NCT,HOSE
49,Công ty Cổ phần Tập đoàn TNT,TNT,HOSE
50,CTCP BĐS Du lịch Ninh Vân Bay,NVT,HOSE
51,Công ty Cổ phần Tập đoàn F.I.T,FIT,HOSE
52,Tổng công ty Điện lực Dầu khí Việt Nam-CTCP,POW,HOSE
53,Công ty Cổ phần Tập đoàn Đại Dương,OGC,HOSE
54,CTCP Hàng không VietJet,VJC,HOSE
55,Công ty Cổ phần VINHOMES,VHM,HOSE
56,CTCP Kosy,KOS,HOSE
57,CTCP Đầu tư Văn Phú - Invest,VPI,HOSE
58,Ngân hàng TMCP Tiên Phong,TPB,HOSE
59,Công ty Tài chính cổ phần Điện lực,EVF,HOSE
60,CTCP Clever Group (tên cũ CTCP Quảng cáo thông minh),ADG,HOSE
61,CTCP Đầu tư xây dựng và Phát triển Trường Thành,TTA,HOSE
62,CTCP Sản xuất và công nghệ nhựa Pha Lê,PLP,HOSE
63,CTCP Vận tải và Xếp dỡ Hải An,HAH,HOSE
64,CÔNG TY CỔ PHẦN ĐẦU TƯ TÀI SẢN KOJI,KPF,HOSE
65,Tổng Công ty Cổ phần Bưu chính Viettel,VTP,HOSE
66,Công ty cổ phần Tập đoàn Everland,EVG,HOSE
67,CTCP Đầu tư và công nghệ HVC,HVH,HOSE
68,Tổng CTCP Công trình Viettel,CTR,HOSE
69,Công ty Cổ phần Tập đoàn ASG,ASG,HOSE
70,Công ty cổ phần Create Capital Việt Nam,CRC,HOSE
71,CTCP Năng lượng và Bất động sản Trường Thành,TEG,HOSE
72,Công Ty Cổ Phần Tập Đoàn 911,NO1,HOSE
73,CTCP Vincom Retail,VRE,HOSE
74,Công ty Cổ phần ROX Key Holdings,TN1,HOSE
75,CTCP Đầu tư BKG Việt Nam,BKG,HOSE
76,CTCP Dịch vụ Hàng không Taseco,AST,HOSE
77,CÔNG TY CỔ PHẦN ĐIỆN LỰC GELEX,GEE,HOSE
78,Công ty Cổ phần Nông nghiệp BAF Việt Nam,BAF,HOSE
79,CTCP Vận tải biển Việt Nam,VOS,HOSE
80,CTCP Vận tải xăng dầu VIPCO,VIP,HOSE
81,CTCP Đầu tư Dịch vụ Tài chính Hoàng Huy,TCH,HOSE
82,Ngân hàng TMCP Hàng Hải Việt Nam,MSB,HOSE
83,Ngân hàng TMCP Đông Nam Á,SSB,HOSE
84,Công ty Cổ phần Tập đoàn HAPACO,HAP,HOSE
85,CTCP Container Việt Nam,VSC,HOSE
86,CTCP Đầu tư và Phát triển Cảng Đình Vũ,DVP,HOSE
87,CÔNG TY CỔ PHẦN TCO HOLDINGS,TCO,HOSE
