STT,name,sec_code,stock_exchange
0,CTCP Bao bì Dầu khí Việt Nam,PBP,HNX
1,CTCP Bao bì và In nông nghiệp,INN,HNX
2,CTCP Bao bì Đạm Phú Mỹ,PMP,HNX
3,CTCP Bia Hà Nội - Hải Dương,HAD,HNX
4,CTCP Bia Thanh Hóa,THB,HNX
5,CTCP Bảo vệ thực vật Sài Gòn,SPC,HNX
6,CTCP Bến xe miền Tây,WCS,HNX
7,CTCP Bọc ống dầu khí Việt Nam,PVB,HNX
8,CTCP CNC Capital Việt Nam,KSQ,HNX
9,CTCP Chế tạo máy - Vinacomin,CTT,HNX
10,CTCP Cokyvina,CKV,HNX
11,CTCP Container miền Trung,VSM,HNX
12,CTCP Công nghiệp Tung Kuang,TKU,HNX
13,CTCP Công nghiệp thương mại Sông Đà,STP,HNX
14,CTCP Công trình giao thông Vận tải Quảng Nam,QTC,HNX
15,CTCP Cơ khí Xăng dầu,PMS,HNX
16,CTCP Cơ khí và Khoáng sản Hà Giang,HGM,HNX
17,CTCP Cảng An Giang,CAG,HNX
18,CTCP Cảng Cam Ranh,CCR,HNX
19,CTCP Cảng Nghệ Tĩnh,NAP,HNX
20,CTCP Cảng Rau quả,VGP,HNX
21,CTCP Cảng Đoạn Xá,DXP,HNX
22,CTCP Cảng Đà Nẵng,CDN,HNX
24,CTCP Dược liệu Việt Nam,DVM,HNX
25,CTCP Dược liệu và thực phẩm Việt Nam,VHE,HNX
26,CTCP Dược phẩm Dược liệu Pharmedic,PMC,HNX
27,CTCP Dược phẩm Hà Tây,DHT,HNX
28,CTCP Dược phẩm Phong Phú,PPP,HNX
29,CTCP Dược phẩm Tipharco,DTG,HNX
30,CTCP Dược phẩm trung ương 3,DP3,HNX
31,CTCP Dược thú y Cai Lậy,MKV,HNX
32,CTCP Dịch vụ Bến Thành,BSC,HNX
33,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,MAS,HNX
34,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,PPS,HNX
35,CTCP Dịch vụ phân phối tổng hợp dầu khí,PSD,HNX
36,CTCP Dịch vụ vận tải và thương mại,TJC,HNX
37,CTCP G-AUTOMOBILE,GMA,HNX
38,CTCP GKM HOLDINGS,GKM,HNX
39,CTCP Giao nhận Vận tải Ngoại thương,VNT,HNX
40,CTCP Gạch Men Thanh Thanh,TTC,HNX
41,CTCP Gạch Ngói Cao Cấp,MCC,HNX
42,CTCP Gạch ngói Nhị Hiệp,NHC,HNX
43,CTCP Gạch ngói gốm xây dựng Mỹ Xuân,GMX,HNX
44,CTCP Hãng Sơn Đông Á,HUT,HNX
45,CTCP Hòa Bình Takara,CTP,HNX
46,CTCP Hóa chất Việt Trì,HVT,HNX
47,CTCP Hải Minh,HMH,HNX
48,CTCP KASATI,KST,HNX
49,CTCP Khoáng sản Bắc Kạn,BKC,HNX
50,CTCP Khách sạn Sài Gòn,SGH,HNX
51,CTCP Kim khí miền Trung,KMT,HNX
54,CTCP Kiên Hùng,KHS,HNX
55,CTCP Kỹ Thuật Điện Toàn Cầu,GLT,HNX
56,CTCP Kỹ nghệ khoáng sản Quảng Nam,MIC,HNX
57,CTCP LICOGI 13,LIG,HNX
58,CTCP LICOGI 14,L14,HNX
59,CTCP Lương thực thực phẩm Safoco,SAF,HNX
60,CTCP Lắp máy thí nghiệm cơ điện,LCD,HNX
61,CTCP Mía đường Sơn La,SLS,HNX
62,CTCP Mĩ Thuật và Truyền Thông,ADC,HNX
63,CTCP Ngân Sơn,NST,HNX
64,CTCP Nhân lực và thương mại Vinaconex,VCM,HNX
65,CTCP Nhựa Thiếu niên Tiền Phong,NTP,HNX
