STT,sec_code,name,stock_exchange
1,BTW,CTCP Cấp Nước Bến Thành,HNX
2,GDW,CTCP Cấp Nước Gia Định,HNX
3,NBW,CTCP Cấp Nước Nhà Bè,HNX
4,DNP,CTCP DNP Holding,HNX
5,PGS,CTCP Kinh Doanh Khí Miền Nam,HNX
6,PVG,CTCP Kinh Doanh LPG Việt Nam,HNX
7,NBP,CTCP Nhiệt Điện Ninh Bình,HNX
8,SD9,CTCP Sông Đà 9,HNX
9,NTH,CTCP Thủy Điện Nước Trong,HNX
10,HJS,CTCP Thủy Điện Nậm Mu,HNX
11,DL1,CTCP Tập Đoàn Alpha Seven,HNX
12,DNC,CTCP Điện Nước Lắp Máy Hải Phòng,HNX
13,DDG,CTCP Đầu Tư Công Nghiệp Xuất Nhập Khẩu Đông Dương,HNX
14,SEB,CTCP Đầu Tư Và Phát Triển Điện Miền Trung,HNX
15,PIC,CTCP Đầu Tư Điện Lực 3,HNX
16,SHS,Công ty Cổ phần Chứng Khoán Sài Gòn Hà Nội,HNX
17,BVS,Công ty Cổ phần Chứng khoán Bảo Việt,HNX
18,APS,Công ty Cổ phần Chứng khoán Châu Á – Thái Bình Dương,HNX
19,HBS,Công ty Cổ phần Chứng khoán Hòa Bình,HNX
20,VFS,Công ty Cổ phần Chứng khoán Nhất Việt,HNX
21,WSS,Công ty Cổ phần Chứng khoán Phố Wall,HNX
22,VIG,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam,HNX
23,PSI,Công ty cổ phần Chứng khoán Dầu khí,HNX
24,EVS,Công ty cổ phần Chứng khoán EVS,HNX
25,IVS,Công ty cổ phần Chứng khoán Guotai Junan (Việt Nam),HNX
26,MBS,Công ty cổ phần Chứng khoán MB,HNX
27,HBB,Ngân hàng Thương mại Cổ phần Nhà Hà Nội,HNX
28,BAB,Ngân hàng Thương mại cổ phần Bắc Á,HNX
29,NVB,Ngân hàng Thương mại cổ phần Quốc Dân,HNX
30,DTK,Tổng Công Ty Điện Lực TKV - CTCP,HNX
31,CNG,CTCP CNG Việt Nam,HOSE
32,REE,CTCP Cơ Điện Lạnh,HOSE
33,CLW,CTCP Cấp Nước Chợ Lớn,HOSE
34,TDW,CTCP Cấp Nước Thủ Đức,HOSE
35,KOS,CTCP Kosy,HOSE
36,BTP,CTCP Nhiệt Điện Bà Rịa,HOSE
37,PPC,CTCP Nhiệt Điện Phả Lại,HOSE
38,BWE,CTCP Nước - Môi Trường Bình Dương,HOSE
39,TDM,CTCP Nước Thủ Dầu Một,HOSE
40,VPD,CTCP Phát Triển Điện Lực Việt Nam,HOSE
41,PGD,CTCP Phân Phối Khí Thấp Áp Dầu Khí Việt Nam,HOSE
42,SBA,CTCP Sông Ba,HOSE
43,SMA,CTCP Thiết Bị Phụ Tùng Sài Gòn,HOSE
44,DRL,CTCP Thủy Điện - Điện Lực 3,HOSE
45,SJD,CTCP Thủy Điện Cần Đơn,HOSE
46,HNA,CTCP Thủy Điện Hủa Na,HOSE
47,SHP,CTCP Thủy Điện Miền Nam,HOSE
48,CHP,CTCP Thủy Điện Miền Trung,HOSE
49,S4A,CTCP Thủy Điện Sê San 4A,HOSE
50,TBC,CTCP Thủy Điện Thác Bà,HOSE
51,TMP,CTCP Thủy Điện Thác Mơ,HOSE
52,VSH,CTCP Thủy Điện Vĩnh Sơn - Sông Hinh,HOSE
53,HDG,CTCP Tập Đoàn Hà Đô,HOSE
54,GEG,CTCP Điện Gia Lai,HOSE
55,NT2,CTCP Điện Lực Dầu Khí Nhơn Trạch 2,HOSE
56,KHP,CTCP Điện Lực Khánh Hòa,HOSE
57,PTC,CTCP Đầu Tư Icapital,HOSE
58,TTE,CTCP Đầu Tư Năng Lượng Trường Thịnh,HOSE
59,UIC,CTCP Đầu Tư Phát Triển Nhà Và Đô Thị  IDICO,HOSE
60,TDG,CTCP Đầu Tư Tdg Global,HOSE
61,PMG,CTCP Đầu Tư Và Sản Xuất Petro Miền Trung,HOSE
62,TTA,CTCP Đầu Tư Xây Dựng Và Phát Triển Trường Thành,HOSE
63,PGC,Tổng Công Ty Gas Petrolimex - Ctcp,HOSE
64,GAS,Tổng Công Ty Khí Việt Nam - CTCP,HOSE
65,PGV,Tổng Công Ty Phát Điện 3 - CTCP,HOSE
66,POW,Tổng Công Ty Điện Lực Dầu Khí Việt Nam,HOSE
67,APG,Công ty Cổ phần Chứng khoán APG,HSX
68,AGR,Công ty Cổ phần Chứng khoán Agribank,HSX
69,DSE,Công ty Cổ phần Chứng khoán DNSE,HSX
70,DSC,Công ty Cổ phần Chứng khoán DSC,HSX
71,FTS,Công ty Cổ phần Chứng khoán FPT,HSX
72,VDS,Công ty Cổ phần Chứng khoán Rồng Việt,HSX
73,TVS,Công ty Cổ phần Chứng khoán Thiên Việt,HSX
74,HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HSX
