STT,sec_code,name,stock_exchange
1,AAS,Công ty cổ phần Chứng khoán SmartInvest,UpCom
2,ABW,CTCP Chứng khoán An Bình,UpCom
3,ACBS,Công ty TNHH Chứng khoán ACB,OTC
4,AGR,Công ty Cổ phần Chứng khoán Agribank,HSX
5,APG,Công ty Cổ phần Chứng khoán APG,HSX
6,APS,Công ty Cổ phần Chứng khoán Châu Á – Thái Bình Dương,HNX
7,APSC,Công ty Cổ phần Chứng khoán ALPHA,OTC
8,ART,Công ty Cổ phần Chứng khoán BOS,UpCom
9,ASC,Công ty Cổ phần Chứng khoán ASC,OTC
10,ATSC,Công ty Cổ phần Chứng khoán An Thành,OTC
11,BETA,Công ty Cổ phần Chứng khoán BETA,OTC
12,BMS,Công ty Cổ phần Chứng khoán Bảo Minh,UpCom
13,BSI,Công ty cổ phần Chứng khoán BIDV,HSX
14,BVS,Công ty Cổ phần Chứng khoán Bảo Việt,HNX
15,CASC,Công ty Cổ phần Chứng khoán Thủ Đô,OTC
16,CSI,Công ty cổ phần Chứng khoán Kiến thiết Việt Nam,UpCom
17,CTS,Công ty cổ phần Chứng khoán Ngân hàng Công thương,HSX
18,DASC,Công ty TNHH MTV Chứng khoán Ngân hàng Đông Á,OTC
19,DDS,Công ty Cổ phần Chứng khoán AIS,OTC
20,DSC,Công ty Cổ phần Chứng khoán DSC,HSX
21,DSE,Công ty Cổ phần Chứng khoán DNSE,HSX
22,DVSC,Công ty Cổ phần Chứng khoán Đại Việt,OTC
23,ECC,Công ty Cổ phần Chứng khoán EUROCAPITAL,OTC
24,EVS,Công ty cổ phần Chứng khoán EVS,HNX
25,FLCS,'',OTC
26,FTS,Công ty Cổ phần Chứng khoán FPT,HSX
27,GLS,Công ty Cổ phần Chứng khoán Sen Vàng,OTC
28,HBS,Công ty Cổ phần Chứng khoán Hòa Bình,HNX
29,HBSC,Công ty Cổ phần Chứng khoán Hưng Thịnh,OTC
30,HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,HSX
31,HRS,CTCP Chứng khoán Việt Nam Gateway,OTC
32,HSSC,Công ty Cổ phần Chứng khoán Hà Nội,OTC
33,HVS,CTCP Chứng khoán HVS Việt Nam,OTC
34,IRS,Công ty Cổ phần Chứng khoán Quốc tế Hoàng Gia,OTC
35,ISC,Công ty Cổ phần Chứng khoán Công Nghiệp Việt Nam,OTC
36,IVS,Công ty cổ phần Chứng khoán Guotai Junan (Việt Nam),HNX
37,JSI,Công ty cổ phần Chứng khoán Nhật Bản,OTC
38,KIS,Công ty Cổ phần Chứng khoán KIS Việt Nam,OTC
39,KVS,Công ty Cổ phần Chứng khoán KENANGA Việt Nam,OTC
40,LVS,Công ty cổ phần Chứng khoán Liên Việt,OTC
41,MBKE,Công ty cổ phần Chứng khoán MayBank Kim Eng,OTC
42,MBS,Công ty cổ phần Chứng khoán MB,HNX
43,MHBS,Công ty cổ phần Chứng khoán Ngân hàng Phát triển Nhà đồng bằng Sông Cửu Long,OTC
44,MIRAEASSET,Công ty TNHH Chứng khoán Mirae Asset (Việt Nam),OTC
45,MSG,Công ty Chứng khoán JB Việt Nam,OTC
46,NASC,Công ty TNHH Chứng khoán Shinhan Việt Nam,OTC
47,NSI,Công ty Cổ phần Chứng khoán Quốc gia,OTC
48,NVS,Công ty cổ phần Chứng khoán NAVIBANK,OTC
